City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,18.78,81,47,9.34,SH,1705896939
1,wailua homesteads,22.0669,-159.378,23.24,89,100,4.12,US,1705896940
2,guerrero negro,27.9769,-114.0611,16.84,89,62,4.26,MX,1705896940
3,huarmey,-10.0681,-78.1522,23.27,83,82,2.94,PE,1705896941
4,puerto natales,-51.7236,-72.4875,12.7,78,75,4.98,CL,1705896941
5,xique xique,-10.8217,-42.7311,25.13,75,5,0.51,BR,1705896941
6,bonthe,7.5264,-12.505,25.76,86,10,1.42,SL,1705896942
7,port alfred,-33.5906,26.891,21.77,92,76,3.58,ZA,1705896942
8,impfondo,1.6381,18.0667,19.07,35,5,0.94,CG,1705896942
9,bethel,41.3712,-73.414,-3.8,69,0,1.79,US,1705896943
10,tiksi,71.6872,128.8694,-28.17,92,100,12.06,RU,1705896943
11,haripur,34.0,72.9341,13.17,17,2,1.46,PK,1705896943
12,port-aux-francais,-49.35,70.2167,5.54,81,52,13.0,TF,1705896944
13,tolanaro,-25.0319,46.9987,25.34,87,100,3.23,MG,1705896944
14,mirny,62.5353,113.9611,-13.2,78,100,4.02,RU,1705896945
15,margaret river,-33.95,115.0667,22.11,55,10,4.83,AU,1705896945
16,yellowknife,62.456,-114.3525,-32.71,75,20,2.06,CA,1705896945
17,coquimbo,-29.9533,-71.3436,15.85,88,100,2.57,CL,1705896946
18,kapuskasing,49.4169,-82.4331,-5.95,86,100,6.17,CA,1705896946
19,grytviken,-54.2811,-36.5092,0.43,84,79,2.44,GS,1705896947
20,kiama,-34.6833,150.8667,22.92,72,91,6.2,AU,1705896947
21,cidreira,-30.1811,-50.2056,21.75,68,100,5.69,BR,1705896948
22,mossel bay,-34.1831,22.146,19.96,87,99,5.53,ZA,1705896948
23,gadzhiyevo,69.2551,33.3362,-11.24,96,100,4.28,RU,1705896948
24,inarajan village,13.2736,144.7484,30.54,78,100,8.97,GU,1705896949
25,bilibino,68.0546,166.4372,-16.05,98,100,0.73,RU,1705896950
26,nyurba,63.2842,118.3319,-10.93,93,100,4.39,RU,1705896951
27,veraval,20.9,70.3667,22.69,36,62,3.87,IN,1705896685
28,kuytun,54.3419,101.5036,-20.78,95,63,1.97,RU,1705896952
29,khandyga,62.6667,135.6,-27.85,95,100,2.41,RU,1705896952
30,port saint john's,-31.6229,29.5448,22.34,84,41,5.83,ZA,1705896952
31,polyarnyy,69.1989,33.4478,-10.48,95,100,4.45,RU,1705896953
32,san angelo,31.4638,-100.437,7.12,94,100,2.24,US,1705896953
33,wynyard,-41.0,145.7167,17.23,55,48,4.54,AU,1705896716
